"Amplicon","Run","Rep.1","Rep.2","Rep.3","...6"
"GAPDH",1,25.315,24.864,24.803,NA
"GAPDH",2,24.598,25.282,24.808,NA
"GAPDH",3,24.756,24.58,24.69,NA
"GAPDH",4,24.608,24.656,25.313,NA
"GAPDH",5,25.482,25.061,25.399,NA
"GAPDH",6,24.676,24.82,24.621,NA
"GAPDH",7,24.597,24.762,24.654,NA
"GAPDH",8,24.634,24.791,24.728,NA
"TERT",1,29.132,28.775,28.922,NA
"TERT",2,29.538,29.359,29.554,NA
"TERT",3,29.121,29.668,30.467,NA
"TERT",4,29.849,30.078,29.544,NA
"TERT",5,30.201,30.673,29.754,NA
"TERT",6,29.313,29.73,29.748,NA
"TERT",7,30.034,29.629,29.507,NA
"TERT",8,28.683,28.454,28.339,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA
