"name","Given conc","Primer","indiv_PCR_eff","threshold","mean_PCR_eff","Cq","N0","...9"
"2_1_1_TELB_1c",100,"Telb",1.889,2.559,1.957,11.394,0.00122,NA
"3_1_1_TELB_1c",100,"Telb",1.833,2.559,1.957,11.569,0.00109,NA
"4_1_1_TELB_1c",100,"Telb",1.898,2.559,1.957,11.571,0.00108,NA
"5_1_2_TELB_1c",50,"Telb",1.914,2.559,1.957,12.46,0.000597,NA
"6_1_2_TELB_1c",50,"Telb",1.876,2.559,1.957,12.502,0.000581,NA
"7_1_2_TELB_1c",50,"Telb",1.86,2.559,1.957,12.442,0.000604,NA
"8_1_2_TELB_1c",50,"Telb",1.912,2.559,1.957,12.666,0.00052,NA
"9_1_4_TELB_1",25,"Telb",1.885,2.559,1.957,13.388,0.00032,NA
"10_1_4_TELB_1",25,"Telb",1.83,2.559,1.957,13.158,0.000374,NA
"11_1_4_TELB_1",25,"Telb",1.853,2.559,1.957,13.434,0.000311,NA
"12_1_4_TELB_1",25,"Telb",1.911,2.559,1.957,13.467,0.000304,NA
"14_1_8_TELB_1",12.5,"Telb",1.845,2.559,1.957,14.383,0.000164,NA
"15_1_8_TELB_1",12.5,"Telb",1.815,2.559,1.957,14.561,0.000146,NA
"16_1_8_TELB_1",12.6,"Telb",1.833,2.559,1.957,14.572,0.000145,NA
"17_1_16TELB_1",6.25,"Telb",1.87,2.559,1.957,15.398,8.31e-05,NA
"18_1_16TELB_1",6.25,"Telb",1.883,2.559,1.957,15.507,7.73e-05,NA
"19_1_16TELB_1",6.25,"Telb",1.854,2.559,1.957,15.645,7.04e-05,NA
"20_1_16TELB_1",6.25,"Telb",1.874,2.559,1.957,15.48,7.87e-05,NA
"21_1_32_TELB_1",3.125,"Telb",1.891,2.559,1.957,16.251,4.69e-05,NA
"22_1_32_TELB_1",3.125,"Telb",1.861,2.559,1.957,16.449,4.11e-05,NA
"23_1_32_TELB_1",3.125,"Telb",1.962,2.559,1.957,16.726,3.41e-05,NA
"24_1_32_TELB_1",3.125,"Telb",1.974,2.559,1.957,16.629,3.64e-05,NA
"25_1_64_TELB_1",1.56,"Telb",1.914,2.559,1.957,17.283,2.35e-05,NA
"26_1_64_TELB_1",1.56,"Telb",1.953,2.559,1.957,17.567,1.94e-05,NA
"27_1_64_TELB_1",1.56,"Telb",1.88,2.559,1.957,17.56,1.95e-05,NA
"28_1_64_TELB_1",1.56,"Telb",1.89,2.559,1.957,17.85,1.6e-05,NA
"41_1_1_18S",100,"18s",1.993,2.559,1.957,18.47,1.06e-05,NA
"42_1_1_18S",100,"18s",1.992,2.559,1.957,18.599,9.7e-06,NA
"43_1_1_18S",100,"18s",2.014,2.559,1.957,18.503,1.03e-05,NA
"44_1_1_18S",100,"18s",1.957,2.559,1.957,18.683,9.17e-06,NA
"45_1_2_18S",50,"18s",2.018,2.559,1.957,19.599,4.96e-06,NA
"46_1_2_18S",50,"18s",1.977,2.559,1.957,19.519,5.23e-06,NA
"47_1_2_18S",50,"18s",1.975,2.559,1.957,19.698,4.64e-06,NA
"48_1_2_18S",50,"18s",2.041,2.559,1.957,19.71,4.6e-06,NA
"49_1_4_18S",25,"18s",1.998,2.559,1.957,20.563,2.6e-06,NA
"50_1_4_18S",25,"18s",1.947,2.559,1.957,20.635,2.47e-06,NA
"51_1_4_18S",25,"18s",1.948,2.559,1.957,20.49,2.73e-06,NA
"52_1_4_18S",25,"18s",2.006,2.559,1.957,20.625,2.49e-06,NA
"53_1_8_18S",12.5,"18s",1.945,2.559,1.957,21.765,1.16e-06,NA
"54_1_8_18S",12.5,"18s",1.987,2.559,1.957,21.639,1.26e-06,NA
"55_1_8_18S",12.5,"18s",1.969,2.559,1.957,21.839,1.1e-06,NA
"56_1_8_18S",12.6,"18s",1.957,2.559,1.957,21.759,1.16e-06,NA
"57_1_16_18S",6.25,"18s",1.947,2.559,1.957,22.531,6.93e-07,NA
"58_1_16_18S",6.25,"18s",1.96,2.559,1.957,22.379,7.67e-07,NA
"59_1_16_18S",6.25,"18s",1.917,2.559,1.957,22.631,6.48e-07,NA
"60_1_16_18S",6.25,"18s",1.973,2.559,1.957,22.387,7.63e-07,NA
"61_1_32_18S",3.125,"18s",1.983,2.559,1.957,23.591,3.4e-07,NA
"62_1_32_18S",3.125,"18s",1.921,2.559,1.957,23.417,3.82e-07,NA
"63_1_32_18S",3.125,"18s",1.996,2.559,1.957,23.795,2.97e-07,NA
"64_1_32_18S",3.125,"18s",1.967,2.559,1.957,23.429,3.79e-07,NA
"65_1_64_18S",1.56,"18s",1.944,2.559,1.957,24.355,2.04e-07,NA
"66_1_64_18S",1.56,"18s",1.951,2.559,1.957,24.665,1.65e-07,NA
"67_1_64_18S",1.56,"18s",1.992,2.559,1.957,24.643,1.68e-07,NA
"68_1_64_18S",1.56,"18s",1.954,2.559,1.957,24.752,1.56e-07,NA
